korean,english
# ===== 일반 용어 =====
등록금,tuition
운동선수,athlete
용돈,allowance
부주의한 운전,reckless driving
아르바이트,part-time job
소비재,consumer goods
# ===== 경제학 핵심 용어 (Mankiw 스타일) =====
평균비용,average cost
한계변화,marginal change
한계적으로,at the margin
한계편익,marginal benefit
수입,revenue
기본원리,Fundamental Principle
기본원리들,Fundamental Principles
의사결정,decision-making
유인,incentive
경제적 유인,incentive
효율성,efficiency
시장실패,market failure
외부효과,externality
시장지배력,market power
경제적 후생,economic well-being
희소자원,scarce resources
자급자족,self-sufficiency
보이지 않는 손,invisible hand
# ===== 기존 사전 (경제/자동차/고유명사) =====
한계,Marginal
한계비용,Marginal cost
한계효용,Marginal utility
한계이익,Marginal benefit
한계가치,Marginal value
한계율,Marginal rate
형평성,Equity
합리적인,Rational
합리적,Rational
기회비용,Opportunity cost
희소성,Scarcity
수요,Demand
공급,Supply
균형가격,Equilibrium price
균형수량,Equilibrium quantity
균형,Equilibrium
변속기,Transmission
중고차,Used car
동수,Dong-su
# ===== 도메인에 따라 영어가 갈리는 다의어 (복합어로 고정) =====
분산 시스템,Distributed system
분산 처리,Distributed processing
분산 데이터베이스,Distributed database
표본 분산,Sample variance
분산 분석,Analysis of variance
모분산,Population variance
지도 학습,Supervised learning
비지도 학습,Unsupervised learning
반지도 학습,Semi-supervised learning
강화 학습,Reinforcement learning
전이 학습,Transfer learning
암 전이,Cancer metastasis
상태 전이,State transition
해시 충돌,Hash collision
충돌 감지,Collision detection
병합 충돌,Merge conflict
데이터 압축,Data compression
메모리 압축,Memory compaction
데이터베이스 정규화,Database normalization
배치 정규화,Batch normalization
가중치 정규화,Weight regularization
정규 표현식,Regular expression
위상 정렬,Topological sort
위상 공간,Topological space
위상 차이,Phase difference
산화-환원 반응,Oxidation-reduction reaction
의미 환원,Semantic reduction
의사 코드,Pseudocode
의사 결정 트리,Decision tree
의사 난수,Pseudorandom number
사전 학습,Pre-training
사전 조건,Precondition
사후 조건,Postcondition
무한 급수,Infinite series
멱급수,Power series
테일러 급수,Taylor series
순환 신경망,Recurrent neural network
순환 대기,Circular wait
순환 참조,Circular reference
# ===== 컴퓨터공학 - 운영체제/시스템 (번역기 오역 빈발) =====
선점,Preemption
선점형 스케줄링,Preemptive scheduling
비선점형 스케줄링,Non-preemptive scheduling
문맥 교환,Context switch
경쟁 상태,Race condition
교착 상태,Deadlock
기아 상태,Starvation
호위 효과,Convoy effect
바쁜 대기,Busy waiting
임계 구역,Critical section
상호 배제,Mutual exclusion
교착 상태 회피,Deadlock avoidance
교착 상태 예방,Deadlock prevention
교착 상태 탐지,Deadlock detection
은행원 알고리즘,Banker's algorithm
순환 대기 조건,Circular wait condition
점유와 대기,Hold and wait
생산자-소비자 문제,Producer-consumer problem
식사하는 철학자 문제,Dining philosophers problem
독자-저자 문제,Readers-writers problem
유한 버퍼,Bounded buffer
지역성,Locality
시간 지역성,Temporal locality
공간 지역성,Spatial locality
요구 페이징,Demand paging
페이지 부재,Page fault
페이지 교체,Page replacement
스래싱,Thrashing
작업 집합,Working set
단편화,Fragmentation
내부 단편화,Internal fragmentation
외부 단편화,External fragmentation
벨레이디의 모순,Belady's anomaly
쓰기 시 복사,Copy-on-write
커널 모드,Kernel mode
사용자 모드,User mode
이중 모드,Dual mode
시분할 시스템,Time-sharing system
일괄 처리 시스템,Batch processing system
멀티프로그래밍,Multiprogramming
문맥,Context
디스패처,Dispatcher
선입선출 스케줄링,First-come first-served scheduling
최단 작업 우선,Shortest job first
반환 시간,Turnaround time
응답 시간,Response time
처리율,Throughput
# ===== 컴퓨터공학 - 자료구조/알고리즘 (번역기 오역 빈발) =====
신장 트리,Spanning tree
최소 신장 트리,Minimum spanning tree
간선,Edge
